Project,Version,Mode,Total_Tests,Unique_Tests,Filtered_Duplicates,Reduction_Rate
Compress,30b,SeqC,1637,47,1590,97.13%
Compress,30b,SeqP,416,24,392,94.23%
Compress,32b,SeqC,538,133,405,75.28%
Compress,32b,SeqP,1959,72,1887,96.32%
Compress,31b,SeqC,2663,128,2535,95.19%
Compress,31b,SeqP,2335,81,2254,96.53%
Compress,5b,SeqC,1091,75,1016,93.13%
Compress,5b,SeqP,2180,2,2178,99.91%
Compress,10b,SeqC,5293,56,5237,98.94%
Compress,10b,SeqP,515,12,503,97.67%
Compress,43b,SeqC,678,168,510,75.22%
Compress,43b,SeqP,1339,69,1270,94.85%
Compress,21b,SeqC,3124,36,3088,98.85%
Compress,21b,SeqP,9,1,8,88.89%
Compress,16b,SeqC,915,30,885,96.72%
Compress,16b,SeqP,2285,4,2281,99.82%
Compress,2b,SeqC,1216,62,1154,94.90%
Compress,2b,SeqP,2747,1,2746,99.96%
Compress,18b,SeqC,928,114,814,87.72%
Compress,18b,SeqP,3787,10,3777,99.74%
Compress,45b,SeqC,2725,127,2598,95.34%
Compress,45b,SeqP,2326,75,2251,96.78%
Compress,47b,SeqP,1589,60,1529,96.22%
Compress,46b,SeqC,640,118,522,81.56%
Compress,46b,SeqP,2114,58,2056,97.26%
Compress,38b,SeqC,1602,202,1400,87.39%
Compress,38b,SeqP,2209,51,2158,97.69%
Compress,40b,SeqC,3637,13,3624,99.64%
Compress,40b,SeqP,3901,24,3877,99.38%
Compress,17b,SeqC,658,107,551,83.74%
Compress,17b,SeqP,2522,43,2479,98.30%
Compress,25b,SeqC,719,92,627,87.20%
Compress,25b,SeqP,3567,11,3556,99.69%
Compress,34b,SeqC,586,48,538,91.81%
Compress,34b,SeqP,2568,48,2520,98.13%
Compress,28b,SeqC,507,135,372,73.37%
Compress,28b,SeqP,3468,19,3449,99.45%
Compress,42b,SeqC,1511,328,1183,78.29%
Compress,42b,SeqP,2195,50,2145,97.72%
Compress,13b,SeqC,2574,256,2318,90.05%
Compress,13b,SeqP,2293,13,2280,99.43%
Compress,39b,SeqC,1648,53,1595,96.78%
Compress,39b,SeqP,2364,51,2313,97.84%
Compress,8b,SeqC,3129,112,3017,96.42%
Compress,8b,SeqP,1716,29,1687,98.31%
Compress,35b,SeqC,2522,112,2410,95.56%
Compress,35b,SeqP,2469,83,2386,96.64%
Compress,29b,SeqC,1043,230,813,77.95%
Compress,29b,SeqP,3107,20,3087,99.36%
Compress,14b,SeqC,2997,144,2853,95.20%
Compress,14b,SeqP,2518,34,2484,98.65%
Compress,12b,SeqC,1130,92,1038,91.86%
Compress,12b,SeqP,3214,9,3205,99.72%
Compress,15b,SeqC,2634,239,2395,90.93%
Compress,15b,SeqP,2209,16,2193,99.28%
Compress,1b,SeqC,1329,78,1251,94.13%
Compress,1b,SeqP,2160,1,2159,99.95%
Compress,24b,SeqC,2230,132,2098,94.08%
Compress,24b,SeqP,2181,48,2133,97.80%
Compress,7b,SeqC,3275,95,3180,97.10%
Compress,7b,SeqP,1584,28,1556,98.23%
Compress,33b,SeqC,3233,93,3140,97.12%
Compress,33b,SeqP,4438,26,4412,99.41%
Compress,26b,SeqC,529,80,449,84.88%
Compress,26b,SeqP,3484,31,3453,99.11%
Compress,36b,SeqC,1062,38,1024,96.42%
Compress,36b,SeqP,862,33,829,96.17%
Compress,6b,SeqC,2590,262,2328,89.88%
Compress,6b,SeqP,1881,9,1872,99.52%
Compress,37b,SeqC,521,148,373,71.59%
Compress,37b,SeqP,2010,73,1937,96.37%
Compress,19b,SeqC,768,184,584,76.04%
Compress,19b,SeqP,2436,27,2409,98.89%
Compress,41b,SeqC,812,105,707,87.07%
Compress,41b,SeqP,1585,65,1520,95.90%
Compress,20b,SeqC,787,106,681,86.53%
Compress,20b,SeqP,3233,4,3229,99.88%
Compress,22b,SeqC,1908,42,1866,97.80%
Compress,22b,SeqP,697,4,693,99.43%
Compress,44b,SeqC,463,27,436,94.17%
Compress,44b,SeqP,84,5,79,94.05%
Compress,3b,SeqC,935,135,800,85.56%
Compress,3b,SeqP,1749,5,1744,99.71%
Compress,9b,SeqC,1120,143,977,87.23%
Compress,9b,SeqP,3006,7,2999,99.77%
Compress,4b,SeqC,1157,181,976,84.36%
Compress,4b,SeqP,1695,5,1690,99.71%
Compress,11b,SeqC,874,29,845,96.68%
Compress,11b,SeqP,2121,3,2118,99.86%
Compress,27b,SeqC,2164,145,2019,93.30%
Compress,27b,SeqP,2358,46,2312,98.05%
JacksonCore,5b,SeqC,2335,20,2315,99.14%
JacksonCore,5b,SeqP,26,2,24,92.31%
JacksonCore,10b,SeqC,5237,21,5216,99.60%
JacksonCore,10b,SeqP,1336,63,1273,95.28%
JacksonCore,21b,SeqC,1204,143,1061,88.12%
JacksonCore,21b,SeqP,120,1,119,99.17%
JacksonCore,23b,SeqC,884,61,823,93.10%
JacksonCore,23b,SeqP,1606,51,1555,96.82%
JacksonCore,16b,SeqC,2596,12,2584,99.54%
JacksonCore,16b,SeqP,1,1,0,0.00%
JacksonCore,2b,SeqC,2359,413,1946,82.49%
JacksonCore,2b,SeqP,1647,44,1603,97.33%
JacksonCore,18b,SeqC,3333,219,3114,93.43%
JacksonCore,18b,SeqP,1764,65,1699,96.32%
JacksonCore,17b,SeqC,4192,61,4131,98.54%
JacksonCore,17b,SeqP,2278,70,2208,96.93%
JacksonCore,25b,SeqC,3,2,1,33.33%
JacksonCore,25b,SeqP,2158,48,2110,97.78%
JacksonCore,13b,SeqC,4988,76,4912,98.48%
JacksonCore,13b,SeqP,1277,30,1247,97.65%
JacksonCore,8b,SeqC,1706,89,1617,94.78%
JacksonCore,8b,SeqP,982,70,912,92.87%
JacksonCore,14b,SeqC,1734,74,1660,95.73%
JacksonCore,14b,SeqP,1039,55,984,94.71%
JacksonCore,12b,SeqC,237,141,96,40.51%
JacksonCore,12b,SeqP,1112,55,1057,95.05%
JacksonCore,15b,SeqC,1310,158,1152,87.94%
JacksonCore,15b,SeqP,120,1,119,99.17%
JacksonCore,1b,SeqC,1325,74,1251,94.42%
JacksonCore,1b,SeqP,841,58,783,93.10%
JacksonCore,24b,SeqC,765,303,462,60.39%
JacksonCore,24b,SeqP,2144,55,2089,97.43%
JacksonCore,7b,SeqC,306,36,270,88.24%
JacksonCore,7b,SeqP,719,37,682,94.85%
JacksonCore,26b,SeqC,386,67,319,82.64%
JacksonCore,26b,SeqP,2582,59,2523,97.71%
JacksonCore,6b,SeqC,2222,26,2196,98.83%
JacksonCore,6b,SeqP,34,2,32,94.12%
JacksonCore,19b,SeqC,282,161,121,42.91%
JacksonCore,19b,SeqP,2116,68,2048,96.79%
JacksonCore,20b,SeqC,1637,230,1407,85.95%
JacksonCore,20b,SeqP,1620,47,1573,97.10%
JacksonCore,22b,SeqC,1176,146,1030,87.59%
JacksonCore,22b,SeqP,55,1,54,98.18%
JacksonCore,3b,SeqC,2216,380,1836,82.85%
JacksonCore,3b,SeqP,1305,37,1268,97.16%
JacksonCore,9b,SeqC,731,211,520,71.14%
JacksonCore,9b,SeqP,1606,69,1537,95.70%
JacksonCore,4b,SeqC,1569,109,1460,93.05%
JacksonCore,4b,SeqP,728,56,672,92.31%
JacksonCore,11b,SeqC,2974,76,2898,97.44%
JacksonCore,11b,SeqP,831,56,775,93.26%
Lang,30b,SeqC,78,49,29,37.18%
Lang,30b,SeqP,76,24,52,68.42%
Lang,59b,SeqC,1252,91,1161,92.73%
Lang,59b,SeqP,2092,56,2036,97.32%
Lang,32b,SeqC,4662,38,4624,99.18%
Lang,32b,SeqP,0,0,0,0.00%
Lang,49b,SeqC,5261,59,5202,98.88%
Lang,49b,SeqP,3348,79,3269,97.64%
Lang,60b,SeqC,1316,84,1232,93.62%
Lang,60b,SeqP,1885,51,1834,97.29%
Lang,31b,SeqC,67,51,16,23.88%
Lang,31b,SeqP,84,23,61,72.62%
Lang,5b,SeqC,1343,13,1330,99.03%
Lang,5b,SeqP,126,12,114,90.48%
Lang,10b,SeqC,723,47,676,93.50%
Lang,10b,SeqP,127,13,114,89.76%
Lang,43b,SeqC,2717,79,2638,97.09%
Lang,43b,SeqP,1450,17,1433,98.83%
Lang,21b,SeqC,2091,192,1899,90.82%
Lang,21b,SeqP,407,7,400,98.28%
Lang,23b,SeqC,1690,65,1625,96.15%
Lang,23b,SeqP,968,12,956,98.76%
Lang,16b,SeqC,1251,45,1206,96.40%
Lang,16b,SeqP,955,39,916,95.92%
Lang,48b,SeqC,191,4,187,97.91%
Lang,48b,SeqP,11,5,6,54.55%
Lang,18b,SeqC,2328,180,2148,92.27%
Lang,18b,SeqP,127,16,111,87.40%
Lang,45b,SeqC,185,3,182,98.38%
