project,number_of_detect,test_id
Chart,9,0
Cli,5,0
Closure,23,0
Codec,6,0
Collections,0,0
Compress,3,0
Csv,3,0
Gson,3,0
JacksonCore,7,0
JacksonDatabind,20,0
JacksonXml,0,0
Jsoup,10,0
JxPath,3,0
Lang,12,0
Math,20,0
Mockito,14,0
Time,3,0
Chart,7,1
Cli,6,1
Closure,13,1
Codec,5,1
Collections,0,1
Compress,4,1
Csv,3,1
Gson,2,1
JacksonCore,4,1
JacksonDatabind,2,1
JacksonXml,0,1
Jsoup,13,1
JxPath,4,1
Lang,10,1
Math,17,1
Mockito,14,1
Time,4,1
Chart,7,2
Cli,4,2
Closure,18,2
Codec,6,2
Collections,0,2
Compress,3,2
Csv,3,2
Gson,2,2
JacksonCore,2,2
JacksonDatabind,7,2
JacksonXml,0,2
Jsoup,13,2
JxPath,2,2
Lang,8,2
Math,20,2
Mockito,14,2
Time,5,2
Chart,7,3
Cli,2,3
Closure,14,3
Codec,5,3
Collections,0,3
Compress,4,3
Csv,3,3
Gson,3,3
JacksonCore,3,3
JacksonDatabind,4,3
JacksonXml,0,3
Jsoup,13,3
JxPath,1,3
Lang,8,3
Math,19,3
Mockito,13,3
Time,2,3
Chart,8,4
Cli,4,4
Closure,9,4
Codec,6,4
Collections,0,4
Compress,3,4
Csv,3,4
Gson,2,4
JacksonCore,3,4
JacksonDatabind,3,4
JacksonXml,0,4
Jsoup,12,4
JxPath,2,4
Lang,10,4
Math,19,4
Mockito,13,4
Time,4,4
