project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Chart,1200,Chart,1b,00,split4,seqP
Chart,1200,Chart,2b,00,split1,seqP
Chart,1200,Chart,2b,00,split2,seqP
Chart,1200,Chart,2b,00,split3,seqP
Chart,1200,Chart,2b,00,split4,seqP
Chart,1200,Chart,2b,01,split1,seqP
Chart,1200,Chart,2b,01,split2,seqP
Chart,1200,Chart,2b,01,split3,seqP
Chart,1200,Chart,2b,01,split4,seqP
Chart,1200,Chart,2b,02,split1,seqP
Chart,1200,Chart,2b,02,split2,seqP
Chart,1200,Chart,2b,02,split3,seqP
Chart,1200,Chart,2b,02,split4,seqP
Chart,1200,Chart,2b,03,split1,seqP
Chart,1200,Chart,2b,03,split2,seqP
Chart,1200,Chart,2b,03,split4,seqP
Chart,1200,Chart,2b,04,split1,seqP
Chart,1200,Chart,2b,04,split2,seqP
Chart,1200,Chart,2b,04,split3,seqP
Chart,1200,Chart,2b,04,split4,seqP
Chart,1200,Chart,3b,00,split1,seqP
Chart,1200,Chart,4b,01,split2,seqC
Chart,1200,Chart,4b,02,split2,seqC
Chart,1200,Chart,4b,03,split1,seqC
Chart,1200,Chart,4b,03,split2,seqC
Chart,1200,Chart,4b,03,split4,seqC
Chart,1200,Chart,4b,04,split1,seqC
Chart,1200,Chart,4b,04,split4,seqC
Chart,1200,Chart,6b,04,split1,seqC
Chart,1200,Chart,14b,00,split1,seqC
Chart,1200,Chart,14b,00,split2,seqC
Chart,1200,Chart,14b,00,split4,seqC
Chart,1200,Chart,14b,01,split1,seqC
Chart,1200,Chart,14b,01,split2,seqC
Chart,1200,Chart,14b,01,split4,seqC
Chart,1200,Chart,14b,02,split1,seqC
Chart,1200,Chart,14b,02,split3,seqC
Chart,1200,Chart,14b,02,split4,seqC
Chart,1200,Chart,14b,03,split1,seqC
Chart,1200,Chart,14b,03,split2,seqC
Chart,1200,Chart,14b,04,split1,seqC
Chart,1200,Chart,14b,04,split2,seqC
Chart,1200,Chart,15b,00,split1,seqC
Chart,1200,Chart,15b,01,split1,seqC
Chart,1200,Chart,15b,02,split1,seqC
Chart,1200,Chart,15b,02,split2,seqC
Chart,1200,Chart,15b,03,split1,seqC
Chart,1200,Chart,15b,04,split1,seqC
Chart,1200,Chart,15b,04,split3,seqC
Chart,1200,Chart,16b,00,split1,seqC
Chart,1200,Chart,16b,01,split1,seqC
Chart,1200,Chart,16b,02,split1,seqC
Chart,1200,Chart,16b,03,split1,seqC
Chart,1200,Chart,16b,04,split1,seqC
Chart,1200,Chart,17b,00,split1,seqC
Chart,1200,Chart,17b,01,split1,seqC
Chart,1200,Chart,17b,02,split1,seqC
Chart,1200,Chart,17b,03,split1,seqC
Chart,1200,Chart,17b,04,split1,seqC
