project,number_of_detect,test_id
Chart,15,0
Cli,22,0
Closure,33,0
Codec,9,0
Collections,0,0
Compress,16,0
Csv,11,0
Gson,5,0
JacksonCore,9,0
JacksonDatabind,43,0
JacksonXml,2,0
Jsoup,37,0
JxPath,9,0
Lang,29,0
Math,62,0
Mockito,17,0
Time,12,0
Chart,16,1
Cli,25,1
Closure,30,1
Codec,10,1
Collections,0,1
Compress,16,1
Csv,11,1
Gson,5,1
JacksonCore,9,1
JacksonDatabind,39,1
JacksonXml,2,1
Jsoup,39,1
JxPath,8,1
Lang,26,1
Math,66,1
Mockito,20,1
Time,9,1
Chart,13,2
Cli,22,2
Closure,30,2
Codec,9,2
Collections,0,2
Compress,15,2
Csv,12,2
Gson,4,2
JacksonCore,9,2
JacksonDatabind,39,2
JacksonXml,1,2
Jsoup,39,2
JxPath,8,2
Lang,28,2
Math,66,2
Mockito,16,2
Time,13,2
Chart,15,3
Cli,25,3
Closure,34,3
Codec,9,3
Collections,0,3
Compress,16,3
Csv,11,3
Gson,5,3
JacksonCore,9,3
JacksonDatabind,44,3
JacksonXml,2,3
Jsoup,39,3
JxPath,7,3
Lang,30,3
Math,64,3
Mockito,15,3
Time,8,3
Chart,15,4
Cli,25,4
Closure,34,4
Codec,10,4
Collections,0,4
Compress,16,4
Csv,11,4
Gson,4,4
JacksonCore,10,4
JacksonDatabind,36,4
JacksonXml,2,4
Jsoup,39,4
JxPath,9,4
Lang,27,4
Math,67,4
Mockito,18,4
Time,11,4
