project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Chart,1200,Chart,1f,00,split2,seqP
Chart,1200,Chart,1f,00,split3,seqP
Chart,1200,Chart,1f,00,split4,seqP
Chart,1200,Chart,1f,01,split1,seqP
Chart,1200,Chart,1f,01,split2,seqP
Chart,1200,Chart,1f,01,split3,seqP
Chart,1200,Chart,1f,01,split4,seqP
Chart,1200,Chart,1f,02,split1,seqP
Chart,1200,Chart,1f,02,split2,seqP
Chart,1200,Chart,1f,02,split3,seqP
Chart,1200,Chart,1f,03,split1,seqP
Chart,1200,Chart,1f,03,split2,seqP
Chart,1200,Chart,1f,03,split3,seqP
Chart,1200,Chart,1f,03,split4,seqP
Chart,1200,Chart,1f,04,split1,seqP
Chart,1200,Chart,1f,04,split2,seqP
Chart,1200,Chart,1f,04,split3,seqP
Chart,1200,Chart,1f,04,split4,seqP
Chart,1200,Chart,2f,00,split1,seqP
Chart,1200,Chart,2f,00,split2,seqP
Chart,1200,Chart,2f,00,split3,seqP
Chart,1200,Chart,2f,00,split4,seqP
Chart,1200,Chart,2f,01,split1,seqP
Chart,1200,Chart,2f,01,split2,seqP
Chart,1200,Chart,2f,01,split3,seqP
Chart,1200,Chart,2f,01,split4,seqP
Chart,1200,Chart,2f,02,split1,seqP
Chart,1200,Chart,2f,02,split2,seqP
Chart,1200,Chart,2f,02,split3,seqP
Chart,1200,Chart,2f,02,split4,seqP
Chart,1200,Chart,2f,03,split1,seqP
Chart,1200,Chart,2f,03,split2,seqP
Chart,1200,Chart,2f,03,split3,seqP
Chart,1200,Chart,2f,03,split4,seqP
Chart,1200,Chart,2f,04,split1,seqP
Chart,1200,Chart,2f,04,split2,seqP
Chart,1200,Chart,2f,04,split3,seqP
Chart,1200,Chart,2f,04,split4,seqP
Chart,1200,Chart,4f,00,split1,seqC
Chart,1200,Chart,4f,00,split2,seqC
Chart,1200,Chart,4f,00,split3,seqC
Chart,1200,Chart,4f,00,split4,seqC
Chart,1200,Chart,4f,01,split1,seqC
Chart,1200,Chart,4f,01,split2,seqC
Chart,1200,Chart,4f,01,split3,seqC
Chart,1200,Chart,4f,01,split4,seqC
Chart,1200,Chart,4f,02,split1,BOTH
Chart,1200,Chart,4f,02,split2,BOTH
Chart,1200,Chart,4f,02,split3,BOTH
Chart,1200,Chart,4f,02,split4,BOTH
Chart,1200,Chart,4f,03,split1,seqC
Chart,1200,Chart,4f,03,split2,seqC
Chart,1200,Chart,4f,03,split3,seqC
Chart,1200,Chart,4f,03,split4,seqC
Chart,1200,Chart,4f,04,split1,seqC
Chart,1200,Chart,4f,04,split2,seqC
Chart,1200,Chart,4f,04,split3,seqC
Chart,1200,Chart,4f,04,split4,seqC
Chart,1200,Chart,5f,02,split1,seqP
Chart,1200,Chart,5f,03,split2,seqP
Chart,1200,Chart,5f,03,split3,seqP
Chart,1200,Chart,5f,04,split3,seqP
Chart,1200,Chart,6f,00,split1,seqP
Chart,1200,Chart,6f,00,split2,seqP
Chart,1200,Chart,6f,00,split3,seqP
Chart,1200,Chart,6f,01,split3,seqC
Chart,1200,Chart,6f,02,split2,seqP
Chart,1200,Chart,6f,04,split4,seqC
Chart,1200,Chart,7f,00,split1,seqP
Chart,1200,Chart,7f,00,split2,seqP
Chart,1200,Chart,7f,00,split3,seqP
Chart,1200,Chart,7f,00,split4,seqP
Chart,1200,Chart,7f,01,split1,seqP
Chart,1200,Chart,7f,01,split2,seqP
Chart,1200,Chart,7f,01,split3,seqP
Chart,1200,Chart,7f,01,split4,seqP
Chart,1200,Chart,7f,02,split1,seqP
Chart,1200,Chart,7f,02,split2,seqP
Chart,1200,Chart,7f,02,split3,seqP
Chart,1200,Chart,7f,02,split4,seqP
Chart,1200,Chart,7f,03,split1,seqP
Chart,1200,Chart,7f,03,split2,seqP
Chart,1200,Chart,7f,03,split3,seqP
Chart,1200,Chart,7f,03,split4,seqP
Chart,1200,Chart,7f,04,split1,seqP
Chart,1200,Chart,7f,04,split2,seqP
Chart,1200,Chart,7f,04,split3,seqP
Chart,1200,Chart,7f,04,split4,seqP
Chart,1200,Chart,8f,00,split1,BOTH
Chart,1200,Chart,8f,00,split2,BOTH
Chart,1200,Chart,8f,00,split3,BOTH
Chart,1200,Chart,8f,01,split1,BOTH
Chart,1200,Chart,8f,01,split2,BOTH
Chart,1200,Chart,8f,01,split3,BOTH
Chart,1200,Chart,8f,01,split4,BOTH
Chart,1200,Chart,8f,02,split1,BOTH
Chart,1200,Chart,8f,02,split2,BOTH
Chart,1200,Chart,8f,02,split3,BOTH
Chart,1200,Chart,8f,02,split4,BOTH
Chart,1200,Chart,8f,03,split1,BOTH
Chart,1200,Chart,8f,03,split2,BOTH
Chart,1200,Chart,8f,03,split3,BOTH
Chart,1200,Chart,8f,04,split1,seqC
Chart,1200,Chart,8f,04,split2,BOTH
Chart,1200,Chart,8f,04,split3,BOTH
Chart,1200,Chart,8f,04,split4,BOTH
Chart,1200,Chart,11f,00,split2,seqP
Chart,1200,Chart,11f,01,split1,seqP
Chart,1200,Chart,11f,01,split2,seqP
Chart,1200,Chart,11f,01,split4,seqP
Chart,1200,Chart,11f,03,split2,seqP
Chart,1200,Chart,11f,04,split1,seqP
Chart,1200,Chart,12f,01,split3,seqP
Chart,1200,Chart,14f,00,split1,seqP
Chart,1200,Chart,14f,00,split2,BOTH
Chart,1200,Chart,14f,00,split3,BOTH
Chart,1200,Chart,14f,01,split1,seqC
Chart,1200,Chart,14f,01,split2,seqC
Chart,1200,Chart,14f,01,split3,seqC
Chart,1200,Chart,14f,01,split4,seqC
Chart,1200,Chart,14f,02,split1,BOTH
Chart,1200,Chart,14f,02,split2,BOTH
Chart,1200,Chart,14f,02,split3,BOTH
Chart,1200,Chart,14f,03,split1,seqC
Chart,1200,Chart,14f,03,split2,seqC
Chart,1200,Chart,14f,03,split3,seqC
Chart,1200,Chart,14f,03,split4,seqC
Chart,1200,Chart,14f,04,split1,BOTH
Chart,1200,Chart,14f,04,split2,BOTH
Chart,1200,Chart,14f,04,split3,BOTH
Chart,1200,Chart,14f,04,split4,BOTH
Chart,1200,Chart,15f,00,split1,BOTH
Chart,1200,Chart,15f,00,split2,BOTH
Chart,1200,Chart,15f,00,split3,BOTH
Chart,1200,Chart,15f,00,split4,BOTH
Chart,1200,Chart,15f,01,split1,seqC
Chart,1200,Chart,15f,01,split2,seqC
Chart,1200,Chart,15f,01,split3,BOTH
Chart,1200,Chart,15f,01,split4,BOTH
Chart,1200,Chart,15f,02,split1,seqC
Chart,1200,Chart,15f,02,split2,BOTH
Chart,1200,Chart,15f,02,split3,BOTH
Chart,1200,Chart,15f,02,split4,BOTH
Chart,1200,Chart,15f,03,split1,BOTH
Chart,1200,Chart,15f,03,split2,BOTH
Chart,1200,Chart,15f,03,split3,BOTH
Chart,1200,Chart,15f,03,split4,BOTH
Chart,1200,Chart,15f,04,split1,BOTH
Chart,1200,Chart,15f,04,split2,BOTH
Chart,1200,Chart,15f,04,split3,BOTH
Chart,1200,Chart,15f,04,split4,BOTH
Chart,1200,Chart,16f,00,split1,BOTH
Chart,1200,Chart,16f,00,split2,BOTH
Chart,1200,Chart,16f,00,split3,BOTH
Chart,1200,Chart,16f,00,split4,BOTH
Chart,1200,Chart,16f,01,split1,BOTH
Chart,1200,Chart,16f,01,split2,BOTH
Chart,1200,Chart,16f,01,split3,BOTH
Chart,1200,Chart,16f,01,split4,BOTH
Chart,1200,Chart,16f,02,split1,BOTH
Chart,1200,Chart,16f,02,split2,BOTH
Chart,1200,Chart,16f,02,split3,BOTH
Chart,1200,Chart,16f,02,split4,BOTH
Chart,1200,Chart,16f,03,split1,BOTH
Chart,1200,Chart,16f,03,split2,BOTH
Chart,1200,Chart,16f,03,split3,BOTH
Chart,1200,Chart,16f,03,split4,BOTH
Chart,1200,Chart,16f,04,split1,BOTH
Chart,1200,Chart,16f,04,split2,BOTH
Chart,1200,Chart,16f,04,split3,BOTH
Chart,1200,Chart,16f,04,split4,BOTH
Chart,1200,Chart,17f,01,split1,seqP
Chart,1200,Chart,18f,00,split1,BOTH
Chart,1200,Chart,18f,00,split2,BOTH
Chart,1200,Chart,18f,00,split3,BOTH
Chart,1200,Chart,18f,00,split4,BOTH
Chart,1200,Chart,18f,01,split1,seqC
Chart,1200,Chart,18f,01,split2,seqC
Chart,1200,Chart,18f,01,split3,seqC
Chart,1200,Chart,18f,01,split4,seqC
Chart,1200,Chart,18f,02,split1,seqC
Chart,1200,Chart,18f,02,split2,seqC
Chart,1200,Chart,18f,02,split3,seqC
Chart,1200,Chart,18f,02,split4,seqC
Chart,1200,Chart,18f,03,split1,seqC
Chart,1200,Chart,18f,03,split2,seqC
Chart,1200,Chart,18f,03,split3,BOTH
Chart,1200,Chart,18f,03,split4,BOTH
Chart,1200,Chart,18f,04,split1,seqC
Chart,1200,Chart,18f,04,split2,seqC
Chart,1200,Chart,18f,04,split3,seqC
Chart,1200,Chart,18f,04,split4,seqC
Chart,1200,Chart,19f,00,split1,seqP
Chart,1200,Chart,19f,00,split2,BOTH
Chart,1200,Chart,19f,01,split4,seqP
Chart,1200,Chart,19f,03,split1,seqP
Chart,1200,Chart,19f,04,split2,BOTH
Chart,1200,Chart,20f,00,split2,seqP
Chart,1200,Chart,20f,00,split3,BOTH
Chart,1200,Chart,20f,03,split3,seqP
Chart,1200,Chart,22f,00,split1,seqC
Chart,1200,Chart,22f,00,split2,seqC
Chart,1200,Chart,22f,00,split3,BOTH
Chart,1200,Chart,22f,00,split4,BOTH
Chart,1200,Chart,22f,01,split1,BOTH
Chart,1200,Chart,22f,01,split2,BOTH
Chart,1200,Chart,22f,01,split3,BOTH
Chart,1200,Chart,22f,01,split4,BOTH
Chart,1200,Chart,22f,02,split1,seqC
Chart,1200,Chart,22f,02,split2,seqC
