project,number_of_detect,test_id
Cli,5,0
Codec,1,0
Collections,0,0
Compress,1,0
Csv,0,0
Jsoup,11,0
JxPath,0,0
Lang,0,0
Math,7,0
Time,0,0
Cli,6,1
Codec,1,1
Collections,0,1
Compress,0,1
Csv,1,1
Jsoup,11,1
JxPath,0,1
Lang,0,1
Math,10,1
Time,0,1
Cli,7,2
Codec,1,2
Collections,0,2
Compress,4,2
Csv,2,2
Jsoup,11,2
JxPath,0,2
Lang,2,2
Math,7,2
Time,0,2
Cli,5,3
Codec,1,3
Collections,0,3
Compress,5,3
Csv,1,3
Jsoup,12,3
JxPath,0,3
Lang,0,3
Math,6,3
Time,0,3
Cli,6,4
Codec,1,4
Collections,0,4
Compress,7,4
Csv,2,4
Jsoup,8,4
JxPath,0,4
Lang,1,4
Math,9,4
Time,0,4
