project,number_of_detect,test_id
Chart,0,0
Cli,0,0
Closure,0,0
Codec,0,0
Collections,0,0
Compress,0,0
Csv,0,0
Gson,0,0
JacksonCore,0,0
JacksonDatabind,0,0
JacksonXml,0,0
Jsoup,0,0
JxPath,0,0
Lang,0,0
Math,0,0
Mockito,0,0
Time,0,0
Chart,0,1
Cli,0,1
Closure,0,1
Codec,0,1
Collections,0,1
Compress,0,1
Csv,0,1
Gson,0,1
JacksonCore,0,1
JacksonDatabind,0,1
JacksonXml,0,1
Jsoup,0,1
JxPath,0,1
Lang,0,1
Math,1,1
Mockito,0,1
Time,0,1
Chart,0,2
Cli,0,2
Closure,0,2
Codec,0,2
Collections,0,2
Compress,0,2
Csv,0,2
Gson,0,2
JacksonCore,0,2
JacksonDatabind,0,2
JacksonXml,0,2
Jsoup,0,2
JxPath,0,2
Lang,0,2
Math,2,2
Mockito,0,2
Time,0,2
Chart,0,3
Cli,0,3
Closure,0,3
Codec,0,3
Collections,0,3
Compress,0,3
Csv,0,3
Gson,0,3
JacksonCore,0,3
JacksonDatabind,0,3
JacksonXml,0,3
Jsoup,0,3
JxPath,0,3
Lang,0,3
Math,1,3
Mockito,0,3
Time,0,3
Chart,1,4
Cli,0,4
Closure,0,4
Codec,0,4
Collections,0,4
Compress,0,4
Csv,0,4
Gson,0,4
JacksonCore,0,4
JacksonDatabind,0,4
JacksonXml,0,4
Jsoup,0,4
JxPath,0,4
Lang,0,4
Math,1,4
Mockito,0,4
Time,0,4
