project,number_of_detect,test_id
Chart,14,0
Cli,14,0
Closure,6,0
Codec,5,0
Collections,0,0
Compress,5,0
Csv,8,0
Gson,4,0
JacksonCore,10,0
JacksonDatabind,8,0
JacksonXml,2,0
Jsoup,15,0
JxPath,12,0
Lang,8,0
Math,20,0
Mockito,3,0
Time,3,0
Chart,14,1
Cli,15,1
Closure,10,1
Codec,5,1
Collections,0,1
Compress,6,1
Csv,8,1
Gson,5,1
JacksonCore,11,1
JacksonDatabind,8,1
JacksonXml,2,1
Jsoup,15,1
JxPath,8,1
Lang,7,1
Math,18,1
Mockito,3,1
Time,3,1
Chart,12,2
Cli,14,2
Closure,7,2
Codec,5,2
Collections,0,2
Compress,4,2
Csv,9,2
Gson,5,2
JacksonCore,11,2
JacksonDatabind,6,2
JacksonXml,2,2
Jsoup,14,2
JxPath,6,2
Lang,8,2
Math,21,2
Mockito,3,2
Time,2,2
Chart,13,3
Cli,15,3
Closure,8,3
Codec,3,3
Collections,0,3
Compress,3,3
Csv,10,3
Gson,4,3
JacksonCore,11,3
JacksonDatabind,4,3
JacksonXml,2,3
Jsoup,13,3
JxPath,6,3
Lang,8,3
Math,17,3
Mockito,3,3
Time,1,3
Chart,11,4
Cli,15,4
Closure,9,4
Codec,5,4
Collections,0,4
Compress,3,4
Csv,8,4
Gson,5,4
JacksonCore,11,4
JacksonDatabind,9,4
JacksonXml,2,4
Jsoup,15,4
JxPath,6,4
Lang,6,4
Math,15,4
Mockito,3,4
Time,2,4
