project,number_of_detect,test_id
Chart,6,0
Cli,4,0
Closure,1,0
Codec,1,0
Collections,0,0
Compress,2,0
Csv,2,0
Gson,2,0
JacksonCore,4,0
JacksonDatabind,3,0
JacksonXml,0,0
Jsoup,8,0
JxPath,2,0
Lang,8,0
Math,3,0
Mockito,2,0
Time,4,0
Chart,4,1
Cli,4,1
Closure,2,1
Codec,2,1
Collections,0,1
Compress,3,1
Csv,2,1
Gson,2,1
JacksonCore,3,1
JacksonDatabind,3,1
JacksonXml,0,1
Jsoup,6,1
JxPath,4,1
Lang,5,1
Math,4,1
Mockito,1,1
Time,4,1
Chart,5,2
Cli,3,2
Closure,4,2
Codec,1,2
Collections,0,2
Compress,4,2
Csv,2,2
Gson,2,2
JacksonCore,2,2
JacksonDatabind,2,2
JacksonXml,0,2
Jsoup,6,2
JxPath,2,2
Lang,6,2
Math,5,2
Mockito,1,2
Time,4,2
Chart,5,3
Cli,4,3
Closure,1,3
Codec,2,3
Collections,0,3
Compress,3,3
Csv,3,3
Gson,3,3
JacksonCore,2,3
JacksonDatabind,1,3
JacksonXml,0,3
Jsoup,8,3
JxPath,2,3
Lang,6,3
Math,6,3
Mockito,1,3
Time,3,3
Chart,7,4
Cli,4,4
Closure,2,4
Codec,0,4
Collections,0,4
Compress,4,4
Csv,2,4
Gson,2,4
JacksonCore,3,4
JacksonDatabind,4,4
JacksonXml,0,4
Jsoup,8,4
JxPath,3,4
Lang,7,4
Math,5,4
Mockito,1,4
Time,4,4
