project,number_of_detect,test_id
Chart,13,0
Cli,16,0
Closure,32,0
Codec,5,0
Collections,1,0
Compress,23,0
Csv,12,0
Gson,6,0
JacksonCore,15,0
JacksonDatabind,43,0
JacksonXml,2,0
Jsoup,38,0
JxPath,14,0
Lang,29,0
Math,41,0
Mockito,5,0
Time,12,0
Chart,15,1
Cli,17,1
Closure,34,1
Codec,5,1
Collections,1,1
Compress,22,1
Csv,11,1
Gson,6,1
JacksonCore,12,1
JacksonDatabind,45,1
JacksonXml,2,1
Jsoup,39,1
JxPath,13,1
Lang,29,1
Math,37,1
Mockito,5,1
Time,13,1
Chart,16,2
Cli,16,2
Closure,35,2
Codec,4,2
Collections,1,2
Compress,21,2
Csv,11,2
Gson,6,2
JacksonCore,13,2
JacksonDatabind,41,2
JacksonXml,2,2
Jsoup,40,2
JxPath,13,2
Lang,31,2
Math,34,2
Mockito,5,2
Time,14,2
Chart,14,3
Cli,18,3
Closure,30,3
Codec,4,3
Collections,1,3
Compress,27,3
Csv,12,3
Gson,6,3
JacksonCore,13,3
JacksonDatabind,43,3
JacksonXml,3,3
Jsoup,38,3
JxPath,15,3
Lang,30,3
Math,41,3
Mockito,5,3
Time,13,3
Chart,16,4
Cli,17,4
Closure,35,4
Codec,3,4
Collections,1,4
Compress,23,4
Csv,11,4
Gson,6,4
JacksonCore,12,4
JacksonDatabind,41,4
JacksonXml,2,4
Jsoup,39,4
JxPath,13,4
Lang,27,4
Math,35,4
Mockito,5,4
Time,15,4
