project,number_of_detect,test_id
Chart,10,0
Cli,2,0
Closure,1,0
Codec,2,0
Collections,0,0
Compress,4,0
Csv,2,0
Gson,2,0
JacksonCore,2,0
JacksonDatabind,2,0
JacksonXml,1,0
Jsoup,13,0
JxPath,2,0
Lang,5,0
Math,7,0
Mockito,0,0
Time,2,0
Chart,9,1
Cli,4,1
Closure,0,1
Codec,2,1
Collections,0,1
Compress,4,1
Csv,2,1
Gson,2,1
JacksonCore,2,1
JacksonDatabind,0,1
JacksonXml,0,1
Jsoup,13,1
JxPath,0,1
Lang,7,1
Math,7,1
Mockito,0,1
Time,4,1
Chart,10,2
Cli,3,2
Closure,1,2
Codec,3,2
Collections,0,2
Compress,5,2
Csv,0,2
Gson,2,2
JacksonCore,2,2
JacksonDatabind,0,2
JacksonXml,0,2
Jsoup,10,2
JxPath,0,2
Lang,6,2
Math,9,2
Mockito,0,2
Time,2,2
Chart,9,3
Cli,2,3
Closure,1,3
Codec,2,3
Collections,0,3
Compress,4,3
Csv,0,3
Gson,0,3
JacksonCore,2,3
JacksonDatabind,1,3
JacksonXml,0,3
Jsoup,11,3
JxPath,0,3
Lang,5,3
Math,9,3
Mockito,0,3
Time,3,3
Chart,10,4
Cli,2,4
Closure,0,4
Codec,2,4
Collections,0,4
Compress,3,4
Csv,0,4
Gson,0,4
JacksonCore,1,4
JacksonDatabind,0,4
JacksonXml,0,4
Jsoup,11,4
JxPath,1,4
Lang,5,4
Math,6,4
Mockito,0,4
Time,5,4
