project,number_of_detect,test_id
Chart,12,0
Cli,12,0
Closure,14,0
Codec,1,0
Collections,1,0
Compress,11,0
Csv,0,0
Gson,1,0
JacksonCore,7,0
JacksonDatabind,16,0
JacksonXml,2,0
Jsoup,23,0
JxPath,7,0
Lang,8,0
Math,29,0
Mockito,0,0
Time,1,0
Chart,11,1
Cli,11,1
Closure,3,1
Codec,1,1
Collections,0,1
Compress,10,1
Csv,0,1
Gson,1,1
JacksonCore,3,1
JacksonDatabind,12,1
JacksonXml,1,1
Jsoup,21,1
JxPath,1,1
Lang,9,1
Math,27,1
Mockito,0,1
Time,1,1
Chart,12,2
Cli,12,2
Closure,7,2
Codec,1,2
Collections,1,2
Compress,11,2
Csv,3,2
Gson,3,2
JacksonCore,7,2
JacksonDatabind,11,2
JacksonXml,2,2
Jsoup,21,2
JxPath,6,2
Lang,12,2
Math,32,2
Mockito,0,2
Time,1,2
Chart,11,3
Cli,10,3
Closure,6,3
Codec,1,3
Collections,1,3
Compress,10,3
Csv,5,3
Gson,0,3
JacksonCore,5,3
JacksonDatabind,11,3
JacksonXml,1,3
Jsoup,26,3
JxPath,3,3
Lang,7,3
Math,29,3
Mockito,0,3
Time,1,3
Chart,10,4
Cli,10,4
Closure,9,4
Codec,3,4
Collections,1,4
Compress,11,4
Csv,5,4
Gson,3,4
JacksonCore,7,4
JacksonDatabind,10,4
JacksonXml,2,4
Jsoup,21,4
JxPath,3,4
Lang,9,4
Math,32,4
Mockito,0,4
Time,3,4
