initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
BS,1200,Chart,1,0,240,53.31
BS,1200,Chart,1,1,240,54.13
BS,1200,Chart,1,2,240,56.2
BS,1200,Chart,1,3,240,53.72
BS,1200,Chart,1,4,240,54.96
BS,1200,Chart,2,0,240,86.95
BS,1200,Chart,2,1,240,82.9
BS,1200,Chart,2,2,240,83.09
BS,1200,Chart,2,3,240,85.29
BS,1200,Chart,2,4,240,85.48
BS,1200,Chart,3,0,240,88.66
BS,1200,Chart,3,1,240,88.66
BS,1200,Chart,3,2,240,88.66
BS,1200,Chart,3,3,240,89.18
BS,1200,Chart,3,4,240,88.66
BS,1200,Chart,4,0,240,66.49
BS,1200,Chart,4,1,240,67.74
BS,1200,Chart,4,2,240,65.66
BS,1200,Chart,4,3,240,66.91
BS,1200,Chart,4,4,240,65.66
BS,1200,Chart,5,0,240,93.75
BS,1200,Chart,5,1,240,93.75
BS,1200,Chart,5,2,240,91.25
BS,1200,Chart,5,3,240,91.25
BS,1200,Chart,5,4,240,92.5
BS,1200,Chart,6,0,240,41.67
BS,1200,Chart,6,1,240,41.67
BS,1200,Chart,6,2,240,41.67
BS,1200,Chart,6,3,240,41.67
BS,1200,Chart,6,4,240,41.67
BS,1200,Chart,7,0,240,96.3
BS,1200,Chart,7,1,240,96.3
BS,1200,Chart,7,2,240,96.3
BS,1200,Chart,7,3,240,96.3
BS,1200,Chart,7,4,240,96.3
BS,1200,Chart,8,0,240,64.71
BS,1200,Chart,8,1,240,64.71
BS,1200,Chart,8,2,240,66.18
BS,1200,Chart,8,3,240,66.18
BS,1200,Chart,8,4,240,64.71
BS,1200,Chart,9,0,240,89.86
BS,1200,Chart,9,1,240,89.13
BS,1200,Chart,9,2,240,89.13
BS,1200,Chart,9,3,240,89.86
BS,1200,Chart,9,4,240,90.58
BS,1200,Chart,11,0,240,86.21
BS,1200,Chart,11,1,240,84.48
BS,1200,Chart,11,2,240,85.34
BS,1200,Chart,11,3,240,85.34
BS,1200,Chart,11,4,240,86.21
BS,1200,Chart,12,0,240,34.52
BS,1200,Chart,12,1,240,34.52
BS,1200,Chart,12,2,240,33.33
BS,1200,Chart,12,3,240,34.52
BS,1200,Chart,12,4,240,34.52
BS,1200,Chart,13,0,240,64.17
BS,1200,Chart,13,1,240,60.83
BS,1200,Chart,13,2,240,60.83
BS,1200,Chart,13,3,240,60.83
BS,1200,Chart,13,4,240,60.83
BS,1200,Chart,14,0,240,69.78
BS,1200,Chart,14,1,240,69.15
BS,1200,Chart,14,2,240,70.75
BS,1200,Chart,14,3,240,69.99
BS,1200,Chart,14,4,240,70.4
BS,1200,Chart,15,0,240,70.83
BS,1200,Chart,15,1,240,71.15
BS,1200,Chart,15,2,240,70.51
BS,1200,Chart,15,3,240,70.51
BS,1200,Chart,15,4,240,69.87
BS,1200,Chart,16,0,240,74.22
BS,1200,Chart,16,1,240,74.22
BS,1200,Chart,16,2,240,76.56
BS,1200,Chart,16,3,240,76.56
BS,1200,Chart,16,4,240,75.78
BS,1200,Chart,17,0,240,89.86
BS,1200,Chart,17,1,240,88.41
BS,1200,Chart,17,2,240,89.86
BS,1200,Chart,17,3,240,89.86
BS,1200,Chart,17,4,240,89.86
BS,1200,Chart,18,0,240,86.07
BS,1200,Chart,18,1,240,83.61
BS,1200,Chart,18,2,240,83.61
BS,1200,Chart,18,3,240,81.97
BS,1200,Chart,18,4,240,83.61
BS,1200,Chart,19,0,240,74.92
BS,1200,Chart,19,1,240,76.6
BS,1200,Chart,19,2,240,75.76
BS,1200,Chart,19,3,240,76.6
BS,1200,Chart,19,4,240,76.6
BS,1200,Chart,20,0,240,87.5
BS,1200,Chart,20,1,240,87.5
BS,1200,Chart,20,2,240,87.5
BS,1200,Chart,20,3,240,87.5
BS,1200,Chart,20,4,240,87.5
BS,1200,Chart,21,0,240,61.67
BS,1200,Chart,21,1,240,61.67
BS,1200,Chart,21,2,240,61.67
BS,1200,Chart,21,3,240,61.67
BS,1200,Chart,21,4,240,60.0
BS,1200,Chart,22,0,240,67.24
BS,1200,Chart,22,1,240,75.86
BS,1200,Chart,22,2,240,75.86
BS,1200,Chart,22,3,240,75.86
BS,1200,Chart,22,4,240,75.86
BS,1200,Chart,23,0,240,32.61
BS,1200,Chart,23,1,240,32.61
BS,1200,Chart,23,2,240,32.61
BS,1200,Chart,23,3,240,32.61
BS,1200,Chart,23,4,240,32.61
BS,1200,Chart,24,0,240,100.0
BS,1200,Chart,24,1,240,100.0
BS,1200,Chart,24,2,240,100.0
BS,1200,Chart,24,3,240,100.0
BS,1200,Chart,24,4,240,100.0
BS,1200,Chart,25,0,240,24.39
BS,1200,Chart,25,1,240,24.39
BS,1200,Chart,25,2,240,24.39
BS,1200,Chart,25,3,240,25.61
BS,1200,Chart,25,4,240,24.39
BS,1200,Chart,26,0,240,78.36
BS,1200,Chart,26,1,240,79.1
BS,1200,Chart,26,2,240,76.12
BS,1200,Chart,26,3,240,76.87
BS,1200,Chart,26,4,240,77.61
BS,1200,Cli,1,0,240,92.86
BS,1200,Cli,1,1,240,92.86
BS,1200,Cli,1,2,240,92.86
BS,1200,Cli,1,3,240,92.86
BS,1200,Cli,1,4,240,85.71
BS,1200,Cli,2,0,240,92.86
BS,1200,Cli,2,1,240,92.86
BS,1200,Cli,2,2,240,92.86
BS,1200,Cli,2,3,240,92.86
BS,1200,Cli,2,4,240,92.86
BS,1200,Cli,4,0,240,94.12
BS,1200,Cli,4,1,240,94.12
BS,1200,Cli,4,2,240,94.12
BS,1200,Cli,4,3,240,94.12
BS,1200,Cli,4,4,240,94.12
BS,1200,Cli,5,0,240,100.0
BS,1200,Cli,5,1,240,100.0
BS,1200,Cli,5,2,240,100.0
BS,1200,Cli,5,3,240,100.0
BS,1200,Cli,5,4,240,100.0
BS,1200,Cli,8,0,240,77.88
BS,1200,Cli,8,1,240,75.96
BS,1200,Cli,8,2,240,76.92
BS,1200,Cli,8,3,240,76.92
BS,1200,Cli,8,4,240,75.96
BS,1200,Cli,9,0,240,94.29
BS,1200,Cli,9,1,240,94.29
BS,1200,Cli,9,2,240,94.29
BS,1200,Cli,9,3,240,94.29
BS,1200,Cli,9,4,240,94.29
BS,1200,Cli,10,0,240,94.29
BS,1200,Cli,10,1,240,94.29
BS,1200,Cli,10,2,240,94.29
BS,1200,Cli,10,3,240,94.29
BS,1200,Cli,10,4,240,94.29
BS,1200,Cli,11,0,240,88.68
BS,1200,Cli,11,1,240,86.79
BS,1200,Cli,11,2,240,87.74
BS,1200,Cli,11,3,240,88.68
BS,1200,Cli,11,4,240,88.68
BS,1200,Cli,12,0,240,100.0
BS,1200,Cli,12,1,240,100.0
BS,1200,Cli,12,2,240,100.0
BS,1200,Cli,12,3,240,100.0
BS,1200,Cli,12,4,240,100.0
BS,1200,Cli,13,0,240,90.52
BS,1200,Cli,13,1,240,85.34
BS,1200,Cli,13,2,240,84.48
BS,1200,Cli,13,3,240,87.93
BS,1200,Cli,13,4,240,86.21
BS,1200,Cli,14,0,240,89.06
BS,1200,Cli,14,1,240,89.06
