initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
BS,1200,Chart,1,0,1200,54.13
BS,1200,Chart,1,1,1200,52.48
BS,1200,Chart,1,2,1200,51.24
BS,1200,Chart,1,3,1200,51.65
BS,1200,Chart,1,4,1200,51.65
BS,1200,Chart,2,0,1200,81.93
BS,1200,Chart,2,1,1200,83.21
BS,1200,Chart,2,2,1200,85.04
BS,1200,Chart,2,3,1200,83.58
BS,1200,Chart,2,4,1200,84.12
BS,1200,Chart,3,0,1200,90.72
BS,1200,Chart,3,1,1200,90.72
BS,1200,Chart,3,2,1200,91.24
BS,1200,Chart,3,3,1200,90.72
BS,1200,Chart,3,4,1200,89.18
BS,1200,Chart,4,0,1200,66.98
BS,1200,Chart,4,1,1200,67.08
BS,1200,Chart,4,2,1200,66.77
BS,1200,Chart,4,3,1200,66.05
BS,1200,Chart,4,4,1200,66.05
BS,1200,Chart,5,0,1200,93.75
BS,1200,Chart,5,1,1200,92.5
BS,1200,Chart,5,2,1200,92.5
BS,1200,Chart,5,3,1200,92.5
BS,1200,Chart,5,4,1200,92.5
BS,1200,Chart,6,0,1200,50.0
BS,1200,Chart,6,1,1200,56.25
BS,1200,Chart,6,2,1200,56.25
BS,1200,Chart,6,3,1200,56.25
BS,1200,Chart,6,4,1200,56.25
BS,1200,Chart,7,0,1200,96.3
BS,1200,Chart,7,1,1200,96.3
BS,1200,Chart,7,2,1200,96.3
BS,1200,Chart,7,3,1200,96.3
BS,1200,Chart,7,4,1200,96.3
BS,1200,Chart,8,0,1200,67.65
BS,1200,Chart,8,1,1200,66.18
BS,1200,Chart,8,2,1200,67.65
BS,1200,Chart,8,3,1200,67.65
BS,1200,Chart,8,4,1200,67.65
BS,1200,Chart,9,0,1200,90.71
BS,1200,Chart,9,1,1200,90.0
BS,1200,Chart,9,2,1200,89.29
BS,1200,Chart,9,3,1200,89.29
BS,1200,Chart,9,4,1200,89.29
BS,1200,Chart,11,0,1200,85.34
BS,1200,Chart,11,1,1200,84.48
BS,1200,Chart,11,2,1200,86.21
BS,1200,Chart,11,3,1200,86.21
BS,1200,Chart,11,4,1200,86.21
BS,1200,Chart,12,0,1200,33.33
BS,1200,Chart,12,1,1200,34.52
BS,1200,Chart,12,2,1200,33.33
BS,1200,Chart,12,3,1200,34.52
BS,1200,Chart,12,4,1200,34.52
BS,1200,Chart,13,0,1200,66.67
BS,1200,Chart,13,1,1200,60.83
BS,1200,Chart,13,2,1200,64.17
BS,1200,Chart,13,3,1200,60.83
BS,1200,Chart,13,4,1200,64.17
BS,1200,Chart,14,0,1200,69.18
BS,1200,Chart,14,1,1200,69.81
