initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
EA,1200,Chart,1,0,1200,66.94
EA,1200,Chart,1,1,1200,45.87
EA,1200,Chart,1,2,1200,45.87
EA,1200,Chart,1,3,1200,45.87
EA,1200,Chart,1,4,1200,64.46
EA,1200,Chart,2,0,1200,93.38
EA,1200,Chart,2,1,1200,67.46
EA,1200,Chart,2,2,1200,67.46
EA,1200,Chart,2,3,1200,67.46
EA,1200,Chart,2,4,1200,91.91
EA,1200,Chart,3,0,1200,95.88
EA,1200,Chart,3,1,1200,73.71
EA,1200,Chart,3,2,1200,73.71
EA,1200,Chart,3,3,1200,73.71
EA,1200,Chart,3,4,1200,93.81
EA,1200,Chart,4,0,1200,74.38
EA,1200,Chart,4,1,1200,57.47
EA,1200,Chart,4,2,1200,57.47
EA,1200,Chart,4,3,1200,57.47
EA,1200,Chart,4,4,1200,73.44
EA,1200,Chart,5,0,1200,100.0
EA,1200,Chart,5,1,1200,76.25
EA,1200,Chart,5,2,1200,76.25
EA,1200,Chart,5,3,1200,76.25
EA,1200,Chart,5,4,1200,100.0
EA,1200,Chart,6,0,1200,50.0
EA,1200,Chart,6,1,1200,33.33
EA,1200,Chart,6,2,1200,33.33
EA,1200,Chart,6,3,1200,33.33
EA,1200,Chart,6,4,1200,50.0
EA,1200,Chart,7,0,1200,100.0
EA,1200,Chart,7,1,1200,85.19
EA,1200,Chart,7,2,1200,85.19
EA,1200,Chart,7,3,1200,85.19
EA,1200,Chart,7,4,1200,100.0
EA,1200,Chart,8,0,1200,76.47
EA,1200,Chart,8,1,1200,29.41
EA,1200,Chart,8,2,1200,29.41
EA,1200,Chart,8,3,1200,29.41
EA,1200,Chart,8,4,1200,75.0
EA,1200,Chart,9,0,1200,97.83
EA,1200,Chart,9,1,1200,76.09
EA,1200,Chart,9,2,1200,76.09
EA,1200,Chart,9,3,1200,97.83
EA,1200,Chart,9,4,1200,94.93
EA,1200,Chart,11,0,1200,95.69
EA,1200,Chart,11,1,1200,54.31
EA,1200,Chart,11,2,1200,54.31
EA,1200,Chart,11,3,1200,94.83
EA,1200,Chart,11,4,1200,95.69
EA,1200,Chart,12,0,1200,95.24
EA,1200,Chart,12,1,1200,21.43
EA,1200,Chart,12,2,1200,21.43
EA,1200,Chart,12,3,1200,96.43
EA,1200,Chart,12,4,1200,95.24
EA,1200,Chart,13,0,1200,79.17
EA,1200,Chart,13,1,1200,35.83
EA,1200,Chart,13,2,1200,35.83
EA,1200,Chart,13,3,1200,77.5
EA,1200,Chart,13,4,1200,79.17
EA,1200,Chart,14,0,1200,68.52
EA,1200,Chart,14,1,1200,59.47
EA,1200,Chart,14,2,1200,59.47
EA,1200,Chart,14,3,1200,68.25
EA,1200,Chart,14,4,1200,68.66
EA,1200,Chart,15,0,1200,78.21
EA,1200,Chart,15,1,1200,63.78
EA,1200,Chart,15,2,1200,63.78
