initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
ES,1200,Chart,1,0,1200,71.9
ES,1200,Chart,1,1,1200,69.83
ES,1200,Chart,1,2,1200,69.83
ES,1200,Chart,1,3,1200,71.07
ES,1200,Chart,1,4,1200,65.7
ES,1200,Chart,2,0,1200,90.62
ES,1200,Chart,2,1,1200,96.51
ES,1200,Chart,2,2,1200,93.75
ES,1200,Chart,2,3,1200,93.93
ES,1200,Chart,2,4,1200,95.4
ES,1200,Chart,3,0,1200,98.45
ES,1200,Chart,3,1,1200,99.48
ES,1200,Chart,3,2,1200,98.97
ES,1200,Chart,3,3,1200,98.97
ES,1200,Chart,3,4,1200,99.48
ES,1200,Chart,4,0,1200,67.84
ES,1200,Chart,4,1,1200,67.43
ES,1200,Chart,4,2,1200,70.44
ES,1200,Chart,4,3,1200,69.61
ES,1200,Chart,4,4,1200,69.5
ES,1200,Chart,5,0,1200,100.0
ES,1200,Chart,5,1,1200,100.0
ES,1200,Chart,5,2,1200,100.0
ES,1200,Chart,5,3,1200,100.0
ES,1200,Chart,5,4,1200,100.0
ES,1200,Chart,6,0,1200,33.33
ES,1200,Chart,6,1,1200,33.33
ES,1200,Chart,6,2,1200,33.33
ES,1200,Chart,6,3,1200,33.33
ES,1200,Chart,6,4,1200,33.33
ES,1200,Chart,7,0,1200,100.0
ES,1200,Chart,7,1,1200,100.0
ES,1200,Chart,7,2,1200,100.0
ES,1200,Chart,7,3,1200,100.0
ES,1200,Chart,7,4,1200,100.0
ES,1200,Chart,8,0,1200,85.29
ES,1200,Chart,8,1,1200,83.82
ES,1200,Chart,8,2,1200,83.82
ES,1200,Chart,8,3,1200,86.76
ES,1200,Chart,8,4,1200,85.29
ES,1200,Chart,9,0,1200,98.55
ES,1200,Chart,9,1,1200,98.55
ES,1200,Chart,9,2,1200,98.55
ES,1200,Chart,9,3,1200,98.55
ES,1200,Chart,9,4,1200,98.55
ES,1200,Chart,11,0,1200,95.69
ES,1200,Chart,11,1,1200,94.83
ES,1200,Chart,11,2,1200,95.69
ES,1200,Chart,11,3,1200,95.69
ES,1200,Chart,11,4,1200,95.69
ES,1200,Chart,12,0,1200,97.62
ES,1200,Chart,12,1,1200,97.62
ES,1200,Chart,12,2,1200,97.62
ES,1200,Chart,12,3,1200,96.43
ES,1200,Chart,12,4,1200,96.43
ES,1200,Chart,13,0,1200,95.83
ES,1200,Chart,13,1,1200,95.83
ES,1200,Chart,13,2,1200,95.83
ES,1200,Chart,13,3,1200,95.83
ES,1200,Chart,13,4,1200,95.0
ES,1200,Chart,14,0,1200,73.61
ES,1200,Chart,14,1,1200,71.94
ES,1200,Chart,14,2,1200,74.09
ES,1200,Chart,14,3,1200,70.89
ES,1200,Chart,14,4,1200,72.21
ES,1200,Chart,15,0,1200,91.67
ES,1200,Chart,15,1,1200,88.14
ES,1200,Chart,15,2,1200,84.94
ES,1200,Chart,15,4,1200,91.03
ES,1200,Chart,16,0,1200,96.09
ES,1200,Chart,16,1,1200,98.44
ES,1200,Chart,16,2,1200,98.44
ES,1200,Chart,16,3,1200,98.44
ES,1200,Chart,16,4,1200,97.66
ES,1200,Chart,17,0,1200,98.55
ES,1200,Chart,17,1,1200,98.55
ES,1200,Chart,17,2,1200,98.55
ES,1200,Chart,17,3,1200,98.55
ES,1200,Chart,17,4,1200,98.55
ES,1200,Chart,18,0,1200,96.72
ES,1200,Chart,18,1,1200,95.9
ES,1200,Chart,18,2,1200,95.9
ES,1200,Chart,18,3,1200,95.08
ES,1200,Chart,18,4,1200,96.72
ES,1200,Chart,19,0,1200,80.47
ES,1200,Chart,19,1,1200,81.31
ES,1200,Chart,19,2,1200,78.11
ES,1200,Chart,19,3,1200,79.8
ES,1200,Chart,19,4,1200,78.62
ES,1200,Chart,20,0,1200,87.5
ES,1200,Chart,20,1,1200,87.5
ES,1200,Chart,20,2,1200,87.5
ES,1200,Chart,20,3,1200,87.5
ES,1200,Chart,20,4,1200,87.5
ES,1200,Chart,21,0,1200,100.0
ES,1200,Chart,21,1,1200,100.0
ES,1200,Chart,21,2,1200,100.0
ES,1200,Chart,21,3,1200,100.0
ES,1200,Chart,21,4,1200,100.0
ES,1200,Chart,22,0,1200,91.38
ES,1200,Chart,22,1,1200,91.38
ES,1200,Chart,22,2,1200,91.38
