initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
ES,1200,Chart,1,0,1200,78.93
ES,1200,Chart,1,1,1200,71.9
ES,1200,Chart,1,2,1200,73.97
ES,1200,Chart,1,3,1200,73.55
ES,1200,Chart,1,4,1200,73.55
ES,1200,Chart,2,0,1200,97.45
ES,1200,Chart,2,1,1200,95.44
ES,1200,Chart,2,2,1200,95.99
ES,1200,Chart,2,3,1200,96.9
ES,1200,Chart,2,4,1200,95.26
ES,1200,Chart,3,0,1200,99.48
ES,1200,Chart,3,1,1200,99.48
ES,1200,Chart,3,2,1200,99.48
ES,1200,Chart,3,3,1200,99.48
ES,1200,Chart,3,4,1200,99.48
ES,1200,Chart,4,0,1200,70.29
ES,1200,Chart,4,1,1200,68.63
ES,1200,Chart,4,2,1200,68.74
ES,1200,Chart,4,3,1200,69.77
ES,1200,Chart,4,4,1200,70.6
ES,1200,Chart,5,0,1200,100.0
ES,1200,Chart,5,1,1200,100.0
ES,1200,Chart,5,2,1200,100.0
ES,1200,Chart,5,3,1200,100.0
ES,1200,Chart,5,4,1200,100.0
ES,1200,Chart,6,0,1200,50.0
ES,1200,Chart,6,1,1200,50.0
ES,1200,Chart,6,2,1200,50.0
ES,1200,Chart,6,3,1200,50.0
ES,1200,Chart,6,4,1200,50.0
ES,1200,Chart,7,0,1200,100.0
ES,1200,Chart,7,1,1200,100.0
ES,1200,Chart,7,2,1200,100.0
ES,1200,Chart,7,3,1200,100.0
ES,1200,Chart,7,4,1200,100.0
ES,1200,Chart,8,0,1200,95.59
ES,1200,Chart,8,1,1200,88.24
ES,1200,Chart,8,2,1200,85.29
ES,1200,Chart,8,3,1200,85.29
ES,1200,Chart,8,4,1200,94.12
ES,1200,Chart,9,0,1200,98.57
ES,1200,Chart,9,1,1200,98.57
ES,1200,Chart,9,2,1200,98.57
ES,1200,Chart,9,3,1200,97.86
ES,1200,Chart,9,4,1200,97.86
ES,1200,Chart,11,0,1200,100.0
ES,1200,Chart,11,1,1200,100.0
ES,1200,Chart,11,2,1200,100.0
ES,1200,Chart,11,3,1200,100.0
ES,1200,Chart,11,4,1200,100.0
ES,1200,Chart,12,0,1200,96.43
ES,1200,Chart,12,1,1200,97.62
ES,1200,Chart,12,2,1200,97.62
ES,1200,Chart,12,3,1200,97.62
ES,1200,Chart,12,4,1200,96.43
ES,1200,Chart,13,0,1200,95.83
ES,1200,Chart,13,1,1200,95.83
