initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,1200,Chart,1,0,1200,35.95
RD,1200,Chart,1,1,1200,36.36
RD,1200,Chart,1,2,1200,35.54
RD,1200,Chart,1,3,1200,35.95
RD,1200,Chart,1,4,1200,35.95
RD,1200,Chart,2,0,1200,46.69
RD,1200,Chart,2,1,1200,47.61
RD,1200,Chart,2,2,1200,47.98
RD,1200,Chart,2,3,1200,48.9
RD,1200,Chart,2,4,1200,46.14
RD,1200,Chart,3,0,1200,72.16
RD,1200,Chart,3,1,1200,78.87
RD,1200,Chart,3,2,1200,75.77
RD,1200,Chart,3,3,1200,80.41
RD,1200,Chart,3,4,1200,81.44
RD,1200,Chart,4,0,1200,39.63
RD,1200,Chart,4,1,1200,37.34
RD,1200,Chart,4,2,1200,36.51
RD,1200,Chart,4,3,1200,40.04
RD,1200,Chart,4,4,1200,37.14
RD,1200,Chart,5,0,1200,96.25
RD,1200,Chart,5,1,1200,91.25
RD,1200,Chart,5,2,1200,92.5
RD,1200,Chart,5,3,1200,98.75
RD,1200,Chart,5,4,1200,97.5
RD,1200,Chart,6,0,1200,25.0
RD,1200,Chart,6,1,1200,25.0
RD,1200,Chart,6,2,1200,25.0
RD,1200,Chart,6,3,1200,25.0
RD,1200,Chart,6,4,1200,25.0
RD,1200,Chart,7,0,1200,81.48
RD,1200,Chart,7,1,1200,74.07
RD,1200,Chart,7,2,1200,85.19
RD,1200,Chart,7,3,1200,85.19
RD,1200,Chart,7,4,1200,88.89
RD,1200,Chart,8,0,1200,76.47
RD,1200,Chart,8,1,1200,75.0
RD,1200,Chart,8,2,1200,64.71
RD,1200,Chart,8,3,1200,75.0
RD,1200,Chart,8,4,1200,75.0
RD,1200,Chart,9,0,1200,60.87
RD,1200,Chart,9,1,1200,63.04
RD,1200,Chart,9,2,1200,66.67
RD,1200,Chart,9,3,1200,73.19
RD,1200,Chart,9,4,1200,72.46
RD,1200,Chart,11,0,1200,33.62
RD,1200,Chart,11,1,1200,33.62
RD,1200,Chart,11,2,1200,33.62
RD,1200,Chart,11,3,1200,33.62
RD,1200,Chart,11,4,1200,33.62
RD,1200,Chart,12,0,1200,27.38
RD,1200,Chart,12,1,1200,23.81
RD,1200,Chart,12,2,1200,22.62
RD,1200,Chart,12,3,1200,35.71
RD,1200,Chart,12,4,1200,21.43
RD,1200,Chart,13,0,1200,65.0
RD,1200,Chart,13,1,1200,68.33
RD,1200,Chart,13,2,1200,57.5
RD,1200,Chart,13,3,1200,67.5
RD,1200,Chart,13,4,1200,65.83
RD,1200,Chart,14,0,1200,27.79
RD,1200,Chart,14,1,1200,41.64
RD,1200,Chart,14,2,1200,27.92
RD,1200,Chart,14,3,1200,44.78
RD,1200,Chart,14,4,1200,40.32
RD,1200,Chart,15,0,1200,33.01
RD,1200,Chart,15,1,1200,35.26
RD,1200,Chart,15,2,1200,37.82
RD,1200,Chart,15,3,1200,40.38
RD,1200,Chart,15,4,1200,36.22
RD,1200,Chart,16,0,1200,78.12
RD,1200,Chart,16,1,1200,82.03
RD,1200,Chart,16,2,1200,86.72
RD,1200,Chart,16,3,1200,85.16
RD,1200,Chart,16,4,1200,82.81
RD,1200,Chart,17,0,1200,60.14
RD,1200,Chart,17,1,1200,53.62
RD,1200,Chart,17,2,1200,73.19
RD,1200,Chart,17,3,1200,61.59
RD,1200,Chart,17,4,1200,55.07
RD,1200,Chart,18,0,1200,81.97
RD,1200,Chart,18,1,1200,73.77
RD,1200,Chart,18,2,1200,79.51
RD,1200,Chart,18,3,1200,76.23
RD,1200,Chart,18,4,1200,80.33
RD,1200,Chart,19,0,1200,48.15
RD,1200,Chart,19,1,1200,46.3
RD,1200,Chart,19,2,1200,41.75
RD,1200,Chart,19,3,1200,44.11
RD,1200,Chart,19,4,1200,43.43
RD,1200,Chart,20,0,1200,75.0
RD,1200,Chart,20,1,1200,75.0
RD,1200,Chart,20,2,1200,75.0
RD,1200,Chart,20,3,1200,75.0
RD,1200,Chart,20,4,1200,62.5
RD,1200,Chart,21,0,1200,28.33
RD,1200,Chart,21,1,1200,40.0
RD,1200,Chart,21,2,1200,28.33
RD,1200,Chart,21,3,1200,40.0
RD,1200,Chart,21,4,1200,31.67
RD,1200,Chart,22,0,1200,81.03
RD,1200,Chart,22,1,1200,84.48
RD,1200,Chart,22,2,1200,84.48
RD,1200,Chart,22,3,1200,84.48
RD,1200,Chart,22,4,1200,89.66
RD,1200,Chart,23,0,1200,26.09
RD,1200,Chart,23,1,1200,23.91
RD,1200,Chart,23,2,1200,17.39
RD,1200,Chart,23,3,1200,21.74
RD,1200,Chart,23,4,1200,23.91
RD,1200,Chart,24,0,1200,90.0
RD,1200,Chart,24,1,1200,90.0
RD,1200,Chart,24,2,1200,90.0
RD,1200,Chart,24,3,1200,90.0
RD,1200,Chart,24,4,1200,90.0
RD,1200,Chart,25,0,1200,6.1
RD,1200,Chart,25,1,1200,2.44
RD,1200,Chart,25,2,1200,3.66
RD,1200,Chart,25,3,1200,2.44
RD,1200,Chart,25,4,1200,8.54
RD,1200,Chart,26,0,1200,27.61
RD,1200,Chart,26,1,1200,20.9
RD,1200,Chart,26,2,1200,44.78
RD,1200,Chart,26,3,1200,26.87
RD,1200,Chart,26,4,1200,44.78
RD,1200,Cli,1,0,1200,64.29
RD,1200,Cli,1,1,1200,71.43
RD,1200,Cli,1,2,1200,85.71
RD,1200,Cli,1,3,1200,64.29
RD,1200,Cli,1,4,1200,42.86
RD,1200,Cli,2,0,1200,45.24
RD,1200,Cli,2,1,1200,40.48
RD,1200,Cli,2,2,1200,50.0
RD,1200,Cli,2,3,1200,59.52
RD,1200,Cli,2,4,1200,52.38
RD,1200,Cli,4,0,1200,26.47
RD,1200,Cli,4,1,1200,26.47
RD,1200,Cli,4,2,1200,32.35
RD,1200,Cli,4,3,1200,26.47
RD,1200,Cli,4,4,1200,26.47
RD,1200,Cli,5,0,1200,50.0
RD,1200,Cli,5,1,1200,50.0
RD,1200,Cli,5,2,1200,50.0
RD,1200,Cli,5,3,1200,62.5
RD,1200,Cli,5,4,1200,50.0
RD,1200,Cli,8,0,1200,41.35
RD,1200,Cli,8,1,1200,41.35
RD,1200,Cli,8,2,1200,41.35
RD,1200,Cli,8,3,1200,41.35
RD,1200,Cli,8,4,1200,41.35
RD,1200,Cli,9,0,1200,34.29
RD,1200,Cli,9,1,1200,35.71
RD,1200,Cli,9,2,1200,34.29
RD,1200,Cli,9,3,1200,28.57
RD,1200,Cli,9,4,1200,34.29
RD,1200,Cli,10,0,1200,34.29
RD,1200,Cli,10,1,1200,37.14
RD,1200,Cli,10,2,1200,34.29
RD,1200,Cli,10,3,1200,41.43
RD,1200,Cli,10,4,1200,34.29
RD,1200,Cli,11,0,1200,74.53
RD,1200,Cli,11,1,1200,73.58
RD,1200,Cli,11,2,1200,72.64
RD,1200,Cli,11,3,1200,75.47
RD,1200,Cli,11,4,1200,73.58
RD,1200,Cli,12,0,1200,37.5
RD,1200,Cli,12,1,1200,37.5
RD,1200,Cli,12,2,1200,37.5
RD,1200,Cli,12,3,1200,37.5
RD,1200,Cli,12,4,1200,37.5
RD,1200,Cli,13,0,1200,55.17
RD,1200,Cli,13,1,1200,50.86
RD,1200,Cli,13,2,1200,62.93
RD,1200,Cli,13,3,1200,56.9
RD,1200,Cli,13,4,1200,62.93
RD,1200,Cli,14,0,1200,50.78
RD,1200,Cli,14,1,1200,65.62
RD,1200,Cli,14,2,1200,50.0
RD,1200,Cli,14,3,1200,54.69
RD,1200,Cli,14,4,1200,50.78
RD,1200,Cli,15,0,1200,67.39
RD,1200,Cli,15,1,1200,76.09
RD,1200,Cli,15,2,1200,71.74
RD,1200,Cli,15,3,1200,71.74
RD,1200,Cli,15,4,1200,69.57
RD,1200,Cli,16,0,1200,61.01
RD,1200,Cli,16,1,1200,53.21
RD,1200,Cli,16,2,1200,54.13
RD,1200,Cli,16,3,1200,56.88
RD,1200,Cli,16,4,1200,58.72
RD,1200,Cli,17,0,1200,40.48
RD,1200,Cli,17,1,1200,45.24
RD,1200,Cli,17,2,1200,40.48
RD,1200,Cli,17,3,1200,45.24
RD,1200,Cli,17,4,1200,45.24
RD,1200,Cli,18,0,1200,45.24
RD,1200,Cli,18,1,1200,45.24
RD,1200,Cli,18,2,1200,38.1
RD,1200,Cli,18,3,1200,45.24
RD,1200,Cli,18,4,1200,45.24
RD,1200,Cli,19,0,1200,40.48
RD,1200,Cli,19,1,1200,40.48
RD,1200,Cli,19,2,1200,45.24
RD,1200,Cli,19,3,1200,45.24
RD,1200,Cli,19,4,1200,45.24
RD,1200,Cli,20,0,1200,45.24
RD,1200,Cli,20,1,1200,45.24
RD,1200,Cli,20,2,1200,40.48
RD,1200,Cli,20,3,1200,40.48
RD,1200,Cli,20,4,1200,38.1
RD,1200,Cli,21,0,1200,61.7
RD,1200,Cli,21,1,1200,56.38
RD,1200,Cli,21,2,1200,67.02
RD,1200,Cli,21,3,1200,65.43
RD,1200,Cli,21,4,1200,61.7
RD,1200,Cli,22,0,1200,42.11
RD,1200,Cli,22,1,1200,55.26
RD,1200,Cli,22,2,1200,50.0
RD,1200,Cli,22,3,1200,55.26
RD,1200,Cli,22,4,1200,50.0
RD,1200,Cli,23,0,1200,83.33
RD,1200,Cli,23,1,1200,84.26
RD,1200,Cli,23,2,1200,78.7
RD,1200,Cli,23,3,1200,80.56
RD,1200,Cli,23,4,1200,82.41
RD,1200,Cli,24,0,1200,72.32
RD,1200,Cli,24,1,1200,72.32
RD,1200,Cli,24,2,1200,75.0
RD,1200,Cli,24,3,1200,77.68
RD,1200,Cli,24,4,1200,76.79
RD,1200,Cli,25,0,1200,74.11
RD,1200,Cli,25,1,1200,76.79
RD,1200,Cli,25,2,1200,75.0
RD,1200,Cli,25,3,1200,75.0
RD,1200,Cli,25,4,1200,74.11
RD,1200,Cli,26,0,1200,100.0
RD,1200,Cli,26,1,1200,75.0
RD,1200,Cli,26,2,1200,75.0
RD,1200,Cli,26,3,1200,75.0
RD,1200,Cli,26,4,1200,100.0
RD,1200,Cli,27,0,1200,83.33
RD,1200,Cli,27,1,1200,75.0
RD,1200,Cli,27,2,1200,91.67
RD,1200,Cli,27,3,1200,75.0
RD,1200,Cli,27,4,1200,75.0
RD,1200,Cli,28,0,1200,38.24
RD,1200,Cli,28,1,1200,33.82
RD,1200,Cli,28,2,1200,38.24
RD,1200,Cli,28,3,1200,33.82
RD,1200,Cli,28,4,1200,32.35
RD,1200,Cli,29,0,1200,50.0
RD,1200,Cli,29,1,1200,50.0
RD,1200,Cli,29,2,1200,50.0
RD,1200,Cli,29,3,1200,50.0
RD,1200,Cli,29,4,1200,50.0
RD,1200,Cli,30,0,1200,27.98
RD,1200,Cli,30,1,1200,23.39
RD,1200,Cli,30,2,1200,20.64
RD,1200,Cli,30,3,1200,22.48
RD,1200,Cli,30,4,1200,23.85
RD,1200,Cli,31,0,1200,75.96
RD,1200,Cli,31,1,1200,75.48
RD,1200,Cli,31,2,1200,70.19
RD,1200,Cli,31,3,1200,71.63
RD,1200,Cli,31,4,1200,76.92
RD,1200,Cli,32,0,1200,39.34
RD,1200,Cli,32,1,1200,36.07
RD,1200,Cli,32,2,1200,36.89
RD,1200,Cli,32,3,1200,38.52
RD,1200,Cli,32,4,1200,38.52
RD,1200,Cli,33,0,1200,70.18
