initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
RD,1200,Chart,1,0,1200,30.99
RD,1200,Chart,1,1,1200,35.95
RD,1200,Chart,1,3,1200,35.95
RD,1200,Chart,1,4,1200,35.12
RD,1200,Chart,3,0,1200,71.65
RD,1200,Chart,3,3,1200,72.16
RD,1200,Chart,4,0,1200,31.78
RD,1200,Chart,4,1,1200,14.08
RD,1200,Chart,4,2,1200,30.85
RD,1200,Chart,4,3,1200,36.13
RD,1200,Chart,4,4,1200,37.47
RD,1200,Chart,5,0,1200,95.0
RD,1200,Chart,5,1,1200,93.75
RD,1200,Chart,5,2,1200,90.0
RD,1200,Chart,5,3,1200,91.25
RD,1200,Chart,5,4,1200,96.25
RD,1200,Chart,6,0,1200,43.75
RD,1200,Chart,6,1,1200,43.75
RD,1200,Chart,6,2,1200,43.75
RD,1200,Chart,6,3,1200,43.75
RD,1200,Chart,6,4,1200,43.75
RD,1200,Chart,7,0,1200,81.48
RD,1200,Chart,7,1,1200,74.07
RD,1200,Chart,7,2,1200,85.19
RD,1200,Chart,7,3,1200,77.78
RD,1200,Chart,7,4,1200,85.19
RD,1200,Chart,8,0,1200,75.0
RD,1200,Chart,8,1,1200,73.53
RD,1200,Chart,8,2,1200,70.59
RD,1200,Chart,8,3,1200,77.94
RD,1200,Chart,8,4,1200,76.47
RD,1200,Chart,9,0,1200,58.57
RD,1200,Chart,9,1,1200,62.14
RD,1200,Chart,9,2,1200,68.57
RD,1200,Chart,9,4,1200,62.86
RD,1200,Chart,11,0,1200,34.48
RD,1200,Chart,11,1,1200,34.48
RD,1200,Chart,11,2,1200,34.48
RD,1200,Chart,11,3,1200,34.48
RD,1200,Chart,11,4,1200,34.48
RD,1200,Chart,12,0,1200,22.62
RD,1200,Chart,12,1,1200,14.29
RD,1200,Chart,12,2,1200,15.48
RD,1200,Chart,12,3,1200,28.57
RD,1200,Chart,12,4,1200,19.05
RD,1200,Chart,13,0,1200,55.83
RD,1200,Chart,13,1,1200,55.83
RD,1200,Chart,13,2,1200,51.67
RD,1200,Chart,13,3,1200,58.33
